Tempo_ms,Movimento,LDR
232415,0,498
232558,0,497
232702,0,497
232847,0,496
232991,1,495
233137,1,495
233282,1,495
233427,1,495
233574,1,495
233719,1,496
233865,1,495
234010,1,496
234156,1,498
234302,1,500
234447,1,500
234593,1,500
234738,1,498
234885,1,499
235030,1,496
235175,1,495
235321,1,495
235466,1,496
235613,1,499
235758,1,499
235904,1,500
236049,1,501
236195,1,503
236341,1,498
236486,1,491
236632,1,484
236777,1,480
236923,1,479
237069,1,478
237214,1,476
237360,1,475
237506,1,475
237651,1,474
237797,1,475
237942,1,473
238088,1,473
238234,1,475
238380,1,475
238525,1,473
238670,1,475
238817,1,473
238962,1,474
239108,1,475
239253,1,473
239398,1,475
239545,1,475
239690,1,474
239836,1,475
239981,1,474
240128,1,473
240273,1,473
240418,1,473
240564,1,475
240709,1,474
240856,1,475
241001,1,477
241146,1,480
241292,1,489
241438,1,495
241584,1,497
241729,1,501
241874,1,501
242020,1,501
242166,1,503
242312,1,501
242457,1,500
242603,1,501
242749,1,499
242894,0,502
243039,0,500
243182,0,501
243326,0,501
243471,0,501
243615,0,503
243759,0,501
243903,0,500
244047,0,498
244192,0,498
244336,0,497
244480,0,498
244624,0,500
244768,0,502
244913,0,499
245056,1,497
245201,1,495
245348,1,494
245493,1,493
245639,1,491
245784,1,492
245931,1,492
246076,1,492
246221,1,493
246367,1,496
246513,1,497
246659,1,499
246804,1,498
246949,1,498
247095,1,496
247241,1,494
247387,1,492
247532,1,489
247677,1,485
247824,1,478
247969,1,475
248115,1,474
248260,1,475
248406,1,479
248552,1,478
248697,1,479
248843,0,478
248987,0,478
249132,0,478
249275,0,476
249419,0,477
249564,0,476
249708,0,477
249851,0,476
249996,0,475
250140,0,475
250285,0,475
250428,0,475
250572,0,477
250717,0,476
250861,0,477
251005,0,476
251149,0,477
251293,1,477
251439,1,476
251585,1,476
251730,1,476
251876,1,475
252021,1,476
252167,1,477
252313,1,476
252459,1,475
252604,1,476
252749,1,475
252895,1,477
253041,1,477
253187,1,476
253332,1,477
253477,1,477
253624,1,475
253769,1,476
253915,1,473
254060,1,474
254205,1,474
254352,1,472
254497,0,474
254642,0,474
254785,0,473
254929,0,473
255074,0,472
255218,0,472
255362,0,474
255506,0,472
255650,0,473
255795,0,473
255939,0,473
256082,0,473
256227,0,474
256371,0,476
256516,0,482
256659,1,485
256805,1,489
256951,1,498
257096,1,497
257242,1,493
257387,1,491
257533,1,489
257679,1,489
257824,1,486
257970,1,487
258115,0,488
258259,0,487
258404,0,490
258548,0,486
258692,0,481
258836,0,480
258980,0,481
259125,0,483
259268,0,482
259412,0,483
259557,0,484
259701,0,482
259846,0,482
259989,0,482
260133,0,482
260278,0,482
260422,0,481
260566,0,481
260710,0,482
260854,0,482
260999,0,481
261142,0,482
261286,1,481
261432,1,483
261578,1,482
261724,1,483
261869,1,482
262014,1,482
262160,1,482
262306,0,483
262450,0,483
262594,0,482
262738,0,482
262883,0,481
263026,0,481
263171,0,481
263315,0,481
263459,0,481
263603,0,482
263747,0,481
263891,0,481
264036,0,481
264180,0,481
264324,0,481
264468,0,483
264612,0,481
264757,0,481
264900,0,481
265044,0,481
265189,0,483
265333,1,481
265479,1,481
265624,1,481
265769,1,481
265916,1,482
266061,1,482
266207,1,480
266352,1,481
266498,1,482
266644,1,481
266789,1,481
266935,1,482
267080,1,481
267227,0,481
267370,0,482
267514,0,481
267659,0,481
267803,0,481
267947,0,481
268091,0,481
268235,0,483
268380,0,481
268523,0,479
268667,0,475
268812,0,475
268956,0,475
269101,0,475
269244,0,476
269388,0,474
269533,0,476
269677,0,476
269820,0,476
269965,0,476
270109,0,476
270254,1,475
270399,1,475
270544,1,475
270690,1,476
270835,1,477
270982,1,475
271127,1,475
271272,1,476
271418,1,476
271564,1,477
271710,0,475
271854,0,477
271997,0,475
272142,0,477
272286,0,476
272431,0,475
272574,0,474
272718,0,473
272863,0,473
273007,0,472
273150,0,473
273295,0,473
273439,0,473
273584,0,473
273728,0,472
273871,0,473
274016,0,472
274160,0,472
274305,1,472
274450,1,471
274595,1,474
274741,1,474
274886,1,475
275033,1,475
275178,1,475
275323,1,474
275469,1,474
275614,1,474
275761,1,474
275906,1,474
276051,1,475
276197,1,474
276343,1,474
276489,1,474
276634,1,475
276780,1,474
276926,1,474
277071,1,476
277217,1,474
277362,1,473
277508,1,473
277654,1,472
277799,1,472
277945,1,472
278090,1,472
278236,1,472
278382,1,473
278528,1,474
278673,1,473
278818,1,473
278964,1,475
279110,1,476
279256,1,476
279401,1,476
279546,1,475
279693,1,476
279838,1,475
279984,1,475
280129,1,477
280274,1,475
280421,1,475
280566,1,476
280712,1,476
280857,1,476
281003,1,477
281149,1,477
281294,1,477
281440,1,477
281585,1,478
281732,1,478
281877,1,479
282022,1,478
282168,1,478
282313,1,477
282460,1,477
282605,1,479
282750,1,479
282896,1,480
283042,1,480
283188,1,481
283333,1,482
283479,1,481
283624,1,480
283770,1,481
283916,1,480
284061,1,483
284207,1,482
284353,1,482
284498,1,481
284644,1,481
284789,1,479
284936,1,479
285081,1,479
285227,1,477
285372,1,476
285517,1,476
285664,1,476
285809,1,475
285955,1,476
286100,1,477
286246,1,477
286392,1,478
286537,1,478
286683,1,478
286828,0,480
286972,0,479
287117,0,479
287261,0,478
287405,0,477
287549,0,476
287693,0,477
287838,0,477
287982,0,477
288125,0,478
288270,0,478
288414,0,477
288559,0,477
288702,0,481
288846,0,481
288991,0,484
289135,0,485
289278,1,485
289425,1,483
289570,1,483
289716,1,483
289861,1,482
290008,1,484
290153,1,484
290298,1,483
290444,1,484
290589,1,483
290736,1,485
290881,1,482
291026,1,484
291172,1,482
291317,1,481
291464,0,482
291607,0,483
291751,0,486
291896,0,493
